iter	RMSE
0	0.9498511858
1	0.9263004769
2	0.9014624462
3	0.8766328586
4	0.8538924898
5	0.8328900079
6	0.8125351904
7	0.7938729534
8	0.7743988877
9	0.7567254654
10	0.7400547299
11	0.725702323
12	0.710138772
13	0.6951420325
14	0.6792553583
15	0.6677319863
16	0.6532236736
17	0.6409945895
18	0.6274268603
19	0.6143738736
20	0.6031668123
21	0.5914705666
22	0.5809311261
23	0.5704641224
24	0.5615397664
25	0.5520341062
26	0.5433334291
27	0.5349903737
28	0.5274024779
29	0.5210933532
30	0.5143642311
31	0.5080279012
32	0.5005773514
33	0.493786057
34	0.4868581092
35	0.4809721607
36	0.4757116467
37	0.4698458339
38	0.4644564593
39	0.4596261347
40	0.4546939632
41	0.4503919783
42	0.4461203637
43	0.4422432057
44	0.4385931677
45	0.4356464428
46	0.4316186409
47	0.428785958
48	0.425992162
49	0.4226720826
50	0.419720762
51	0.4173348666
52	0.4144045619
53	0.4128633092
54	0.4102709147
55	0.408142986
56	0.4059090746
57	0.4035333813
58	0.4017885987
59	0.3999897509
60	0.3979966264
61	0.3964970567
62	0.3952702965
63	0.3933755356
64	0.391652145
65	0.3900659401
66	0.3887489793
67	0.3873950975
68	0.3855973755
69	0.3842286915
70	0.3830030656
71	0.3818051362
72	0.3803223262
73	0.3791250438
74	0.3780310098
75	0.3769629947
76	0.375984192
77	0.3751080396
78	0.374129308
79	0.3732198313
80	0.3721823655
81	0.371357104
82	0.3705341777
83	0.3698962422
84	0.3690010563
85	0.368365601
86	0.3680062912
87	0.3672147266
88	0.3664700238
89	0.3658668489
90	0.3651288242
91	0.3644786468
92	0.363767584
93	0.3629090638
94	0.3622398452
95	0.3615810454
96	0.3611655944
97	0.3605624224
98	0.3600763185
99	0.3593317471
100	0.3588102371
101	0.3582920284
102	0.3578171221
103	0.3572814384
104	0.3567878743
105	0.3563808155
106	0.3558524775
107	0.3553609724
108	0.3549868573
109	0.3547220749
110	0.3544221553
111	0.353763714
112	0.3533471174
113	0.3529339351
114	0.3527605993
115	0.3523977242
116	0.3519088361
117	0.3513666756
118	0.350703599
119	0.350325053
120	0.3499195928
121	0.3496222447
122	0.3491943335
123	0.3486771759
124	0.3483309637
125	0.3479909083
126	0.3474165423
127	0.3471503016
128	0.3467336845
129	0.3462120433
130	0.3456039217
131	0.3452094861
132	0.3447454724
133	0.3441388936
134	0.3436746455
135	0.3432350006
136	0.342999756
137	0.3424890656
138	0.3422934843
139	0.3419374345
140	0.3413555507
141	0.3407366355
142	0.3400973133
143	0.3398744982
144	0.3395648452
145	0.3390259995
146	0.3386939006
147	0.3382078118
148	0.3377469269
149	0.3376413953
150	0.3371838358
151	0.3369462203
152	0.3369032039
153	0.3366663927
154	0.3363678183
155	0.3360635923
156	0.3358810576
157	0.3355175426
158	0.335162307
159	0.3347628983
160	0.3344506647
161	0.3342046573
162	0.3339626805
163	0.3335420265
164	0.33310126
165	0.3328076773
166	0.3325235024
167	0.3322775419
168	0.3320089441
169	0.3317189878
170	0.3313324559
171	0.3310943194
172	0.3307740902
173	0.3306016138
174	0.33002288
175	0.3295985532
176	0.3292492739
177	0.3290259056
178	0.3287104371
179	0.3283748872
180	0.3281980902
181	0.3277809922
182	0.327426969
183	0.3271749947
184	0.327006297
185	0.3265822455
186	0.3263910964
187	0.3261448786
188	0.3258532522
189	0.3255353179
190	0.325319249
191	0.3251373574
192	0.3247638209
193	0.3245114726
194	0.3239195443
195	0.3236182155
196	0.322910573
197	0.322389877
198	0.3218624773
199	0.3215182266
200	0.321204575
201	0.3211089773
202	0.3207089406
203	0.3202702488
204	0.3200051459
205	0.3197784834
206	0.3195140312
207	0.3193169532
208	0.3190402722
209	0.3186812455
210	0.3183885105
211	0.3179812998
212	0.3177523163
213	0.3173868759
214	0.3167642774
215	0.316427155
216	0.3161502931
217	0.3158560587
218	0.3157207496
219	0.3155559669
220	0.3155218243
221	0.3152744703
222	0.3151024936
223	0.3147705412
224	0.3143959158
225	0.3140551865
226	0.3137967821
227	0.3133749379
228	0.3131297332
229	0.3129757479
230	0.3127247676
231	0.3123219685
232	0.3119558439
233	0.3117103698
234	0.3110834303
235	0.3109659211
236	0.3105971407
237	0.3103341278
238	0.3101329628
239	0.3098617587
240	0.3096046912
241	0.3093562396
242	0.309235848
243	0.3090869937
244	0.3086291423
245	0.3083408592
246	0.3081973509
247	0.3078535611
248	0.3076477691
249	0.3073586947
250	0.3070509527
251	0.3068511928
252	0.306758405
253	0.3066210691
254	0.3064072025
255	0.306048918
256	0.3058695094
257	0.3055591464
258	0.305313043
259	0.3051188538
260	0.3048221886
261	0.3045728508
262	0.304241416
263	0.3040838783
264	0.3039675619
265	0.3037721723
266	0.3035234297
267	0.3033182131
268	0.3031380733
269	0.3029236921
270	0.3027358072
271	0.3024402135
272	0.3022939357
273	0.3020411838
274	0.3017768788
275	0.301737315
276	0.3016124045
277	0.3013503624
278	0.3012735887
279	0.3012412412
280	0.301093524
281	0.3008114907
282	0.3005564166
283	0.3003396351
284	0.3001573143
285	0.3000455452
286	0.2998952901
287	0.2996554367
288	0.2994386196
289	0.2992053908
290	0.2990816963
291	0.2987824614
292	0.2987146903
293	0.2986274243
294	0.2982954502
295	0.2979781568
296	0.2978560026
297	0.297623688
298	0.2974304472
299	0.2973685857
300	0.2970021119
301	0.2969740394
302	0.2969210751
303	0.296840762
304	0.2968015101
305	0.2965984651
306	0.2965507305
307	0.2964464279
308	0.2962809566
309	0.2960745837
310	0.2960042055
311	0.2958026295
312	0.295581658
313	0.2953290241
314	0.2952090167
315	0.2948952118
316	0.2948087292
317	0.2942945036
318	0.2941127116
319	0.2937579
320	0.2936825286
321	0.2934379326
322	0.2932781723
323	0.2930827124
324	0.2928617982
325	0.2926279242
326	0.2924606142
327	0.2922820597
328	0.2922260831
329	0.2920520263
330	0.2918930481
331	0.2917423442
332	0.2915154113
333	0.2912196361
334	0.2908827554
335	0.2907122639
336	0.2904856618
337	0.2902019348
338	0.2899651495
339	0.2898013346
340	0.2897733192
341	0.2895977289
342	0.2894708759
343	0.2893258567
344	0.2891984417
345	0.2890520713
346	0.2888833047
347	0.2885704685
348	0.2881687886
349	0.287956309
350	0.287636379
351	0.2874791625
352	0.2873433795
353	0.2873202682
354	0.2871693118
355	0.2870249597
356	0.286986128
357	0.2869656099
358	0.286791681
359	0.2866540648
360	0.2866007795
361	0.2864809197
362	0.2860914814
363	0.285592327
364	0.2855714027
365	0.2852572497
366	0.2851145669
367	0.2847805681
368	0.2845751543
369	0.2844374006
370	0.2844177013
371	0.2842255938
372	0.2840965021
373	0.2838796571
374	0.2836595974
375	0.283482974
376	0.2833584302
377	0.2830936077
378	0.2828374709
379	0.2826653657
380	0.2824592415
381	0.2822101384
382	0.2819038522
383	0.2815746521
384	0.281468878
385	0.2813197119
386	0.2811005361
387	0.2809855899
388	0.2809669532
389	0.2809188643
390	0.2808319295
391	0.2805825078
392	0.2804132551
393	0.2802830119
394	0.2799779916
395	0.2797596668
396	0.2794865928
397	0.2794427489
398	0.2792663301
399	0.2791965414
400	0.2790096307
401	0.2789563542
402	0.2788169616
403	0.2787649096
404	0.2782022728
405	0.2779877682
406	0.2777783144
407	0.2776997341
408	0.2773232056
409	0.277306646
410	0.2771027887
411	0.2769884755
412	0.2769382962
413	0.2768582201
414	0.2768148964
415	0.2767123196
416	0.2765760129
417	0.2762862572
418	0.2762208621
419	0.2758184303
420	0.2756360152
421	0.2754195254
422	0.2752087406
423	0.2750544401
424	0.2750206642
425	0.2749785332
426	0.2747786464
427	0.2745177564
428	0.2743228013
429	0.2742835975
430	0.274240596
431	0.2740985623
432	0.2739295578
433	0.2737529989
434	0.2735954605
435	0.273348581
436	0.2728116959
437	0.27268239
438	0.2725445341
439	0.2724057561
440	0.2721566808
441	0.2720564409
442	0.2719807824
443	0.2718904028
