iter	Passed	Remaining
0	4	4205
1	5	2697
2	6	2154
3	7	1890
4	8	1732
5	9	1615
6	10	1545
7	11	1481
8	13	1438
9	14	1407
10	14	1313
11	15	1289
12	16	1227
13	16	1189
14	17	1163
15	18	1125
16	19	1130
17	19	1088
18	21	1085
19	22	1083
20	23	1081
21	24	1078
22	25	1062
23	26	1060
24	27	1058
25	28	1057
26	28	1035
27	29	1036
28	30	1035
29	32	1042
30	33	1052
31	34	1054
32	35	1054
33	37	1053
34	37	1035
35	38	1034
36	39	1016
37	40	1016
38	41	1017
39	42	1015
40	43	1007
41	44	1007
42	45	1006
43	46	1006
44	47	1005
45	48	1008
46	49	1011
47	51	1012
48	51	997
49	52	998
50	53	998
51	54	992
52	55	992
53	56	982
54	57	981
55	57	971
56	58	971
57	59	971
58	60	962
59	61	962
60	62	963
61	63	956
62	64	958
63	65	958
64	66	958
65	67	952
66	68	951
67	69	951
68	70	952
69	71	952
70	72	951
71	73	950
72	74	949
73	75	949
74	76	948
75	77	948
76	79	953
77	80	952
78	81	951
79	82	950
80	83	949
81	84	947
82	85	946
83	86	941
84	87	940
85	88	939
86	88	931
87	89	930
88	90	929
89	91	928
90	92	927
91	94	927
92	95	927
93	96	926
94	97	925
95	98	924
96	99	923
97	100	922
98	101	920
99	102	919
100	103	919
101	104	918
102	105	917
103	106	916
104	107	915
105	108	914
106	109	916
107	110	915
108	111	914
109	112	910
110	113	909
111	114	908
112	115	907
113	116	906
114	117	902
115	118	902
116	119	901
117	120	900
118	121	899
119	122	898
120	123	897
121	124	899
122	126	899
123	127	898
124	128	897
125	129	895
126	130	894
127	131	893
128	132	892
129	133	891
130	134	891
131	135	889
132	136	889
133	137	887
134	138	887
135	139	885
136	141	888
137	142	887
138	143	886
139	144	885
140	145	884
141	146	884
142	147	883
143	148	882
144	149	881
145	150	881
146	151	880
147	152	879
148	153	878
149	154	877
150	156	879
151	157	879
152	157	874
153	158	873
154	160	872
155	161	871
156	162	870
157	163	869
158	164	868
159	165	867
160	166	866
161	167	865
162	168	864
163	169	863
164	170	862
165	171	863
166	172	862
167	173	861
168	174	860
169	175	859
170	176	858
171	177	856
172	179	855
173	180	854
174	181	853
175	182	852
176	183	851
177	184	850
178	185	849
179	186	851
180	187	850
181	189	851
182	190	850
183	191	850
184	192	848
185	193	847
186	194	846
187	195	845
188	196	844
189	197	843
190	198	842
191	199	841
192	200	840
193	202	841
194	203	840
195	204	839
196	205	838
197	206	837
198	207	836
199	208	835
200	209	833
201	210	832
202	211	831
203	212	830
204	213	829
205	214	828
206	215	827
207	217	828
208	218	828
209	219	827
210	220	826
211	221	825
212	223	824
213	224	822
214	225	821
215	226	820
216	227	819
217	228	818
218	229	817
219	230	815
220	230	812
221	231	811
222	233	812
223	234	811
224	235	810
225	236	809
226	237	808
227	238	807
228	239	805
229	240	804
230	241	803
231	242	802
232	243	801
233	244	800
234	245	799
235	246	797
236	248	800
237	249	799
238	250	798
239	251	796
240	252	795
241	253	794
